any,attempted_problem,course_id,created,interval_end,interval_start,played_video,posted_forum
3,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-06-20T000000,2021-06-13T000000,,
2,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-06-27T000000,2021-06-20T000000,,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-07-04T000000,2021-06-27T000000,,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-07-18T000000,2021-07-11T000000,,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-07-25T000000,2021-07-18T000000,,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-09-05T000000,2021-08-29T000000,,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-11-07T000000,2021-10-31T000000,1,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-11-14T000000,2021-11-07T000000,,
2,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-11-21T000000,2021-11-14T000000,1,
2,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-11-28T000000,2021-11-21T000000,,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-12-05T000000,2021-11-28T000000,1,
3,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-12-12T000000,2021-12-05T000000,,
4,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2021-12-19T000000,2021-12-12T000000,,
2,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-01-09T000000,2022-01-02T000000,1,
2,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-01-16T000000,2022-01-09T000000,,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-01-23T000000,2022-01-16T000000,,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-01-30T000000,2022-01-23T000000,,
3,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-02-06T000000,2022-01-30T000000,,
3,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-02-13T000000,2022-02-06T000000,,
4,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-02-20T000000,2022-02-13T000000,3,
3,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-02-27T000000,2022-02-20T000000,1,
4,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-03-06T000000,2022-02-27T000000,1,
3,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-03-13T000000,2022-03-06T000000,1,
2,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-03-20T000000,2022-03-13T000000,,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-03-27T000000,2022-03-20T000000,,
4,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-04-10T000000,2022-04-03T000000,,
1,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-04-17T000000,2022-04-10T000000,,
4,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-04-24T000000,2022-04-17T000000,3,
4,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-05-01T000000,2022-04-24T000000,2,
4,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-05-08T000000,2022-05-01T000000,2,
2,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-05-15T000000,2022-05-08T000000,,
2,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-05-22T000000,2022-05-15T000000,1,
4,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-05-29T000000,2022-05-22T000000,3,
8,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-06-05T000000,2022-05-29T000000,3,
10,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-06-12T000000,2022-06-05T000000,2,
293,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-06-19T000000,2022-06-12T000000,66,3
131,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-06-26T000000,2022-06-19T000000,37,6
120,5,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-07-03T000000,2022-06-26T000000,42,8
